,region,year,policy,consumer,fuel,resid_exp_2020USD,resid_exp_2020USD_total,fuel_exp_share
0,Africa_Eastern,2020,ndc,d1,TradBio,575630421.427224,661695797.2213932,0.869932110562623
1,Africa_Eastern,2020,ndc,d1,coal,15008.740309129998,661695797.2213932,2.2682236115379626e-05
2,Africa_Eastern,2020,ndc,d1,modern,86050367.05386013,661695797.2213932,0.1300452072012617
3,Africa_Eastern,2020,ndc,d10,TradBio,129104913.13350418,7507687582.735717,0.017196361957094092
4,Africa_Eastern,2020,ndc,d10,coal,0.0,7507687582.735717,0.0
5,Africa_Eastern,2020,ndc,d10,modern,7378582669.602213,7507687582.735717,0.9828036380429059
6,Africa_Eastern,2020,ndc,d2,TradBio,508365931.0248822,741560479.6999058,0.6855353608253334
7,Africa_Eastern,2020,ndc,d2,coal,14915.950569969998,741560479.6999058,2.01142738566734e-05
8,Africa_Eastern,2020,ndc,d2,modern,233179632.72445366,741560479.6999058,0.31444452490081004
9,Africa_Eastern,2020,ndc,d3,TradBio,470322257.5607982,843722094.6872897,0.5574374080307979
10,Africa_Eastern,2020,ndc,d3,coal,14846.3582656,843722094.6872897,1.759626583099324e-05
11,Africa_Eastern,2020,ndc,d3,modern,373384990.76822585,843722094.6872897,0.442544995703371
12,Africa_Eastern,2020,ndc,d4,TradBio,433762592.03414106,990114753.4976662,0.43809325181938463
13,Africa_Eastern,2020,ndc,d4,coal,14776.76596123,990114753.4976662,1.4924296309119515e-05
14,Africa_Eastern,2020,ndc,d4,modern,556337384.6975639,990114753.4976662,0.5618918238843061
15,Africa_Eastern,2020,ndc,d5,TradBio,402273455.71861196,1165064645.6679559,0.34527994409098234
16,Africa_Eastern,2020,ndc,d5,coal,14707.173656859999,1165064645.6679559,1.2623482921351604e-05
17,Africa_Eastern,2020,ndc,d5,modern,762776482.7756872,1165064645.6679559,0.6547074324260964
18,Africa_Eastern,2020,ndc,d6,TradBio,372254033.3064726,1380245671.9704764,0.2697012864202882
19,Africa_Eastern,2020,ndc,d6,coal,0.0,1380245671.9704764,0.0
20,Africa_Eastern,2020,ndc,d6,modern,1007991638.6640038,1380245671.9704764,0.7302987135797119
21,Africa_Eastern,2020,ndc,d7,TradBio,338563371.3033864,1670822241.251514,0.20263278938026863
22,Africa_Eastern,2020,ndc,d7,coal,0.0,1670822241.251514,0.0
23,Africa_Eastern,2020,ndc,d7,modern,1332258869.9481277,1670822241.251514,0.7973672106197315
24,Africa_Eastern,2020,ndc,d8,TradBio,296697301.00390387,2141405963.7492821,0.1385525706132018
25,Africa_Eastern,2020,ndc,d8,coal,0.0,2141405963.7492821,0.0
26,Africa_Eastern,2020,ndc,d8,modern,1844708662.7453783,2141405963.7492821,0.8614474293867982
27,Africa_Eastern,2020,ndc,d9,TradBio,241437893.0262342,3208874397.4278035,0.07524068041421877
28,Africa_Eastern,2020,ndc,d9,coal,0.0,3208874397.4278035,0.0
29,Africa_Eastern,2020,ndc,d9,modern,2967436504.4015694,3208874397.4278035,0.9247593195857813
30,Africa_Eastern,2020,ndl,d1,TradBio,575630421.427224,661792902.3061564,0.8698044651450914
31,Africa_Eastern,2020,ndl,d1,coal,15009.176053277999,661792902.3061564,2.267956637337054e-05
32,Africa_Eastern,2020,ndl,d1,modern,86147471.7028791,661792902.3061564,0.13017285528853534
33,Africa_Eastern,2020,ndl,d10,TradBio,129104913.13350418,7509182429.325359,0.017192938691876106
34,Africa_Eastern,2020,ndl,d10,coal,0.0,7509182429.325359,0.0
35,Africa_Eastern,2020,ndl,d10,modern,7380077516.1918545,7509182429.325359,0.9828070613081238
36,Africa_Eastern,2020,ndl,d2,TradBio,508365931.0248822,741925546.0068712,0.685198041448992
37,Africa_Eastern,2020,ndl,d2,coal,14916.383620181998,741925546.0068712,2.010496026247336e-05
38,Africa_Eastern,2020,ndl,d2,modern,233544698.59836882,741925546.0068712,0.31478185359074545
39,Africa_Eastern,2020,ndl,d3,TradBio,470322257.5607982,844268776.4407604,0.5570764556088013
40,Africa_Eastern,2020,ndl,d3,coal,14846.789295359999,844268776.4407604,1.7585382415716696e-05
41,Africa_Eastern,2020,ndl,d3,modern,373931672.0906669,844268776.4407604,0.4429059590087831
42,Africa_Eastern,2020,ndl,d4,TradBio,433762592.03414106,990898645.9543588,0.4377466795470022
43,Africa_Eastern,2020,ndl,d4,coal,14777.194970538,990898645.9543588,1.4912922760436028e-05
44,Africa_Eastern,2020,ndl,d4,modern,557121276.7252471,990898645.9543588,0.5622384075302373
45,Africa_Eastern,2020,ndl,d5,TradBio,402273455.71861196,1166107485.1525924,0.34497116332802885
46,Africa_Eastern,2020,ndl,d5,coal,14707.600645715998,1166107485.1525924,1.261256001953492e-05
47,Africa_Eastern,2020,ndl,d5,modern,763819321.8333347,1166107485.1525924,0.6550162241119516
48,Africa_Eastern,2020,ndl,d6,TradBio,372254033.3064726,1381583485.9706566,0.2694401294504029
49,Africa_Eastern,2020,ndl,d6,coal,0.0,1381583485.9706566,0.0
50,Africa_Eastern,2020,ndl,d6,modern,1009329452.6641841,1381583485.9706566,0.7305598705495971
51,Africa_Eastern,2020,ndl,d7,TradBio,338563371.3033864,1672538185.751502,0.2024248977916541
52,Africa_Eastern,2020,ndl,d7,coal,0.0,1672538185.751502,0.0
53,Africa_Eastern,2020,ndl,d7,modern,1333974814.4481153,1672538185.751502,0.7975751022083457
54,Africa_Eastern,2020,ndl,d8,TradBio,296697301.00390387,2141784272.2624564,0.1385280977390361
55,Africa_Eastern,2020,ndl,d8,coal,0.0,2141784272.2624564,0.0
